2025-07-30 23:20:44,511 - snake_game - INFO - Logging for snake_game started. Log file: logs\application_snake_game.log
2025-07-30 23:20:44,511 - snake_game - INFO - Snake Game application started.
2025-07-30 23:20:45,540 - snake_game - DEBUG - Gaze coordinates: (588, 513)
2025-07-30 23:20:45,601 - snake_game - DEBUG - Gaze coordinates: (587, 514)
2025-07-30 23:20:45,637 - snake_game - DEBUG - Gaze coordinates: (585, 518)
2025-07-30 23:20:45,669 - snake_game - DEBUG - Gaze coordinates: (584, 521)
2025-07-30 23:20:45,701 - snake_game - DEBUG - Gaze coordinates: (583, 525)
2025-07-30 23:20:45,736 - snake_game - DEBUG - Gaze coordinates: (582, 529)
2025-07-30 23:20:45,769 - snake_game - DEBUG - Gaze coordinates: (580, 531)
2025-07-30 23:20:45,797 - snake_game - DEBUG - Gaze coordinates: (578, 532)
2025-07-30 23:20:45,828 - snake_game - DEBUG - Gaze coordinates: (577, 532)
2025-07-30 23:20:45,861 - snake_game - DEBUG - Gaze coordinates: (576, 532)
2025-07-30 23:20:45,890 - snake_game - DEBUG - Gaze coordinates: (574, 531)
2025-07-30 23:20:45,921 - snake_game - DEBUG - Gaze coordinates: (573, 529)
2025-07-30 23:20:45,952 - snake_game - DEBUG - Gaze coordinates: (571, 530)
2025-07-30 23:20:45,982 - snake_game - DEBUG - Gaze coordinates: (569, 529)
2025-07-30 23:20:46,015 - snake_game - DEBUG - Gaze coordinates: (566, 528)
2025-07-30 23:20:46,046 - snake_game - DEBUG - Gaze coordinates: (566, 526)
2025-07-30 23:20:46,075 - snake_game - DEBUG - Gaze coordinates: (564, 523)
2025-07-30 23:20:46,105 - snake_game - DEBUG - Gaze coordinates: (562, 519)
2025-07-30 23:20:46,138 - snake_game - DEBUG - Gaze coordinates: (560, 511)
2025-07-30 23:20:46,168 - snake_game - DEBUG - Gaze coordinates: (558, 499)
2025-07-30 23:20:46,197 - snake_game - DEBUG - Gaze coordinates: (556, 485)
2025-07-30 23:20:46,227 - snake_game - DEBUG - Gaze coordinates: (553, 467)
2025-07-30 23:20:46,256 - snake_game - DEBUG - Gaze coordinates: (551, 448)
2025-07-30 23:20:46,287 - snake_game - DEBUG - Gaze coordinates: (549, 426)
2025-07-30 23:20:46,317 - snake_game - DEBUG - Gaze coordinates: (547, 402)
2025-07-30 23:20:46,347 - snake_game - DEBUG - Gaze coordinates: (544, 377)
2025-07-30 23:20:46,380 - snake_game - DEBUG - Gaze coordinates: (541, 352)
2025-07-30 23:20:46,410 - snake_game - DEBUG - Gaze coordinates: (537, 327)
2025-07-30 23:20:46,442 - snake_game - DEBUG - Gaze coordinates: (534, 303)
2025-07-30 23:20:46,471 - snake_game - DEBUG - Gaze coordinates: (530, 281)
2025-07-30 23:20:46,502 - snake_game - DEBUG - Gaze coordinates: (527, 261)
2025-07-30 23:20:46,531 - snake_game - DEBUG - Gaze coordinates: (522, 244)
2025-07-30 23:20:46,563 - snake_game - DEBUG - Gaze coordinates: (517, 227)
2025-07-30 23:20:46,594 - snake_game - DEBUG - Gaze coordinates: (512, 213)
2025-07-30 23:20:46,631 - snake_game - DEBUG - Gaze coordinates: (507, 200)
2025-07-30 23:20:46,664 - snake_game - DEBUG - Gaze coordinates: (501, 189)
2025-07-30 23:20:46,696 - snake_game - DEBUG - Gaze coordinates: (496, 180)
2025-07-30 23:20:46,731 - snake_game - DEBUG - Gaze coordinates: (491, 172)
2025-07-30 23:20:46,774 - snake_game - DEBUG - Gaze coordinates: (485, 164)
2025-07-30 23:20:46,811 - snake_game - DEBUG - Gaze coordinates: (481, 156)
2025-07-30 23:20:46,842 - snake_game - DEBUG - Gaze coordinates: (476, 149)
2025-07-30 23:20:46,887 - snake_game - DEBUG - Gaze coordinates: (472, 142)
2025-07-30 23:20:46,918 - snake_game - DEBUG - Gaze coordinates: (468, 136)
2025-07-30 23:20:46,948 - snake_game - DEBUG - Gaze coordinates: (463, 131)
2025-07-30 23:20:46,976 - snake_game - DEBUG - Gaze coordinates: (460, 125)
2025-07-30 23:20:47,005 - snake_game - DEBUG - Gaze coordinates: (456, 120)
2025-07-30 23:20:47,036 - snake_game - DEBUG - Gaze coordinates: (453, 115)
2025-07-30 23:20:47,065 - snake_game - DEBUG - Gaze coordinates: (451, 109)
2025-07-30 23:20:47,100 - snake_game - DEBUG - Gaze coordinates: (450, 103)
2025-07-30 23:20:47,131 - snake_game - DEBUG - Gaze coordinates: (451, 98)
2025-07-30 23:20:47,163 - snake_game - DEBUG - Gaze coordinates: (453, 91)
2025-07-30 23:20:47,191 - snake_game - DEBUG - Gaze coordinates: (454, 85)
2025-07-30 23:20:47,223 - snake_game - DEBUG - Gaze coordinates: (456, 78)
2025-07-30 23:20:47,265 - snake_game - DEBUG - Gaze coordinates: (458, 72)
2025-07-30 23:20:47,305 - snake_game - DEBUG - Gaze coordinates: (460, 67)
2025-07-30 23:20:47,337 - snake_game - DEBUG - Gaze coordinates: (463, 62)
2025-07-30 23:20:47,368 - snake_game - DEBUG - Gaze coordinates: (466, 57)
2025-07-30 23:20:47,399 - snake_game - DEBUG - Gaze coordinates: (467, 53)
2025-07-30 23:20:47,428 - snake_game - DEBUG - Gaze coordinates: (469, 51)
2025-07-30 23:20:47,457 - snake_game - DEBUG - Gaze coordinates: (470, 49)
2025-07-30 23:20:47,487 - snake_game - DEBUG - Gaze coordinates: (471, 49)
2025-07-30 23:20:47,528 - snake_game - DEBUG - Gaze coordinates: (472, 48)
